"sep=,"
"Impacto de negocio","Recomendación","Identificador de suscripción","Nombre de suscripción","Grupo de recursos","Nombre de recurso","Tipo","Last refreshed on","Posibles ventajas","Cost implications (Preview)","Description of changes"
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","bi-azure","bi-glm","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-intel","glm-intelisis","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Añadir un método de salida explícito para deshabilitar el resultado de salida predeterminado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-intel","glm-intelisis441","Network interface","2026-06-05T07:02:39.0494876Z","Acceso de salida seguro y explícito para nuevas subredes.","No hay datos.",""
"Mediano","Cambio a alertas basadas en Azure Monitor para copias de seguridad","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","respaldosvms","respaldosmaquinasvirtuales","Almacén de Recovery Services","2026-06-05T14:42:37.1873173Z","Mejores funcionalidades de administración de alertas","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-lara","glm-lara","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Añadir un método de salida explícito para deshabilitar el resultado de salida predeterminado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-lara","glm-lara666","Network interface","2026-06-05T07:02:39.0494876Z","Acceso de salida seguro y explícito para nuevas subredes.","No hay datos.",""
"Mediano","Install SQL best practices assessment on your SQL VM","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep","SQL virtual machine","2026-06-05T12:51:01.5140585Z","Check your server config for best practices and increased excellence","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Añadir un método de salida explícito para deshabilitar el resultado de salida predeterminado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-comer","glm-comer932","Network interface","2026-06-05T07:02:39.0494876Z","Acceso de salida seguro y explícito para nuevas subredes.","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-comer","glm-comer","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Añadir un método de salida explícito para deshabilitar el resultado de salida predeterminado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-huam","glm-huam48","Network interface","2026-06-05T07:02:39.0494876Z","Acceso de salida seguro y explícito para nuevas subredes.","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-huam","glm-huam","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Añadir un método de salida explícito para deshabilitar el resultado de salida predeterminado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-prov_group","glm-prov457","Network interface","2026-06-05T07:02:39.0494876Z","Acceso de salida seguro y explícito para nuevas subredes.","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-prov_group","glm-prov","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""
"Mediano","Añadir un método de salida explícito para deshabilitar el resultado de salida predeterminado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-asp","asp18","Network interface","2026-06-05T07:02:39.0494876Z","Acceso de salida seguro y explícito para nuevas subredes.","No hay datos.",""
"Mediano","Habilitación de VM Insights para máquinas virtuales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-asp","asp","Máquina virtual","2026-06-05T04:52:53.1489444Z","Obtener visibilidad del rendimiento y la dependencia","No hay datos.",""